"","type","title","description","time_frame","population","measure","nct_id","group_id","non_inferiority_type","p_value","p_value_desc","method","arm","param_type","param_value","ci_percent","ci_n_sides","ci_lower_limit","ci_upper_limit","non_inferiority_desc"
"17","Secondary","Pain Scores at Postoperative Day 1","Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 1.
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.","Measured once, from 00:00am of postoperative day 1 until the end of postoperative day 1 (23:59pm of postoperative day 1)",NA,"Pain Scores at Postoperative Day 1Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 1.
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.score on a scaleMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Secondary","Pain Scores at Postoperative Day 2","Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 2 The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.","Measured once, from 00:00am of postoperative day 2 until the end of postoperative day 2 (23:59pm of postoperative day 2)",NA,"Pain Scores at Postoperative Day 2Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 2 The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.score on a scaleMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Secondary","Pain Scores at Postoperative Day 3","Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 3 The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.","Measured once, from 00:00am of postoperative day 3 until the end of postoperative day 3 (23:59pm of postoperative day 3)",NA,"Pain Scores at Postoperative Day 3Measured using a 100mm Visual Analog Scale, at the end of the postoperative day 3 The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.score on a scaleMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Secondary","Length of Hospital Stay","Measured in days, being the difference from day of surgery until the day of hospital discharge.
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.","From the day of surgery until the day of hospital discharge, up to a maximum of 30 days",NA,"Length of Hospital StayMeasured in days, being the difference from day of surgery until the day of hospital discharge.
The scale ranges from 0mm (No pain) to 100mm (Pain as bad as it could possibly be). A paper-based version of the VAS will be used, containing a 100mm line, where the left-end (0mm) contains the sentence ""No Pain"" and in the right-end (100mm) contains the sentence ""Pain as bad as it could possibly be"". Patients will be asked to indicate on the line where the pain is in relation to the two extremes. This will be performed with a pen. Measure with a ruler will be performed from the left hand side to the mark and this will be recorded in mm. Lower values represent less pain and higher values represent more pain. There are no subscale components for this measurement.DaysMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Secondary","30-day Pain Scores","Measured using the Patient-Reported Outcome Measurement Information System (PROMIS) Pain Intensity 3a survey. This survey has 3 questions:(1) How intense was your pain as its worst? (2) How intense was your average pain? and (3) What is your level of pain right now?. Each question has 5 response options ranging in value from 1 to 5. To find the total raw score, sum of the values for each question is performed; lowest possible raw score is 3 and highest possible raw score is 15.A raw score of 10 converts to a T-score of 54.5 with a standard error (SE) of 2.9. Thus, the 95% confidence interval around the observed score ranges from 48.8 to 54.5 (T-score + (1.96*SE) or 54.5 + (1.96*2.9). A score of 50 is the average for the United States general population with a standard deviation of 10. For negatively-worded concepts like Pain Intensity, a T-score of 60 is one SD worse than average. By comparison, a Pain Intensity Tscore of 40 is one SD better than average.","Measured during the 30-day follow-up visit, expected to occur 30-days after the day of surgery, up to a maximum of 90 days",NA,"30-day Pain ScoresMeasured using the Patient-Reported Outcome Measurement Information System (PROMIS) Pain Intensity 3a survey. This survey has 3 questions:(1) How intense was your pain as its worst? (2) How intense was your average pain? and (3) What is your level of pain right now?. Each question has 5 response options ranging in value from 1 to 5. To find the total raw score, sum of the values for each question is performed; lowest possible raw score is 3 and highest possible raw score is 15.A raw score of 10 converts to a T-score of 54.5 with a standard error (SE) of 2.9. Thus, the 95% confidence interval around the observed score ranges from 48.8 to 54.5 (T-score + (1.96*SE) or 54.5 + (1.96*2.9). A score of 50 is the average for the United States general population with a standard deviation of 10. For negatively-worded concepts like Pain Intensity, a T-score of 60 is one SD worse than average. By comparison, a Pain Intensity Tscore of 40 is one SD better than average.T-ScoreMedianInter-Quartile RangeParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Secondary","30-day Patient-Reported Quality of Life","Measured using the Hernia Related Quality of Life survey (HerQLes) during the 30-day follow-up visit. The HerQLes is a valid and reliable hernia-specific quality of life measure. Each questions has 6 response options ranging in value from one to six. To find the raw score for the HerQles, a sum of the values of the response to each question is performed. For example, the lowest possible score is 12; the highest possible score is 72. All questions must be answered to provide a valid score. Mean and standard deviations of the scores of the entire study population will be calculated. Next, the Z score will be calculated as follows:
(Raw score-mean) / Standard Deviation. Next step is to calculate the Standard Score, as follows: (-(Z score)*Mean)+Standard Deviation. The standard score will be used for comparisons and reports, and should provide a value ranging from 0 to 100. Lower scores means lower quality of life and higher scores means higher quality of life.","Measured during the 30-day follow-up visit, expected to occur 30-days after the day of surgery, up to a maximum of 90 days",NA,"30-day Patient-Reported Quality of LifeMeasured using the Hernia Related Quality of Life survey (HerQLes) during the 30-day follow-up visit. The HerQLes is a valid and reliable hernia-specific quality of life measure. Each questions has 6 response options ranging in value from one to six. To find the raw score for the HerQles, a sum of the values of the response to each question is performed. For example, the lowest possible score is 12; the highest possible score is 72. All questions must be answered to provide a valid score. Mean and standard deviations of the scores of the entire study population will be calculated. Next, the Z score will be calculated as follows:
(Raw score-mean) / Standard Deviation. Next step is to calculate the Standard Score, as follows: (-(Z score)*Mean)+Standard Deviation. The standard score will be used for comparisons and reports, and should provide a value ranging from 0 to 100. Lower scores means lower quality of life and higher scores means higher quality of life.Z-ScoreMeanStandard DeviationParticipantsMeasure","NCT03541941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Primary","Opioid Use as Measured by Questionnaire","Compare time to first opioid use over 72 hours between groups","Daily through the third day (72 hours) post-surgery",NA,"Opioid Use as Measured by QuestionnaireCompare time to first opioid use over 72 hours between groupshoursNumberParticipantsMeasure","NCT02499575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Primary","Total Opioid Use as Measured by Questionnaire","Compare total opioid use (reported as total morphine equivalents) over 72 hours between groups.","Daily through the third day (72 hours) post-surgery",NA,"Total Opioid Use as Measured by QuestionnaireCompare total opioid use (reported as total morphine equivalents) over 72 hours between groups.morphine equivalentsNumberParticipantsMeasure","NCT02499575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Secondary","Pain Relief Measured by Defense and Veterans Pain Scale","Evaluate patient-reported pain scores (scale of 0 (no pain) - 10 (worst pain)) at 0, 6, 12, 24, 36, 48, 60, and 72 hours following surgery","Through 72 hours post-surgery (0, 6, 12, 24, 36, 48, 60, and 72 hours post-surgery)",NA,"Pain Relief Measured by Defense and Veterans Pain ScaleEvaluate patient-reported pain scores (scale of 0 (no pain) - 10 (worst pain)) at 0, 6, 12, 24, 36, 48, 60, and 72 hours following surgeryunits on scale of 0 -10NumberParticipantsMeasurePain score time 0Pain score time 6hrsPain score time 12hrsPain score time 24hrsPain score time 36hrsPain score time 48hrsPain score time 60hrsPain score time 72hrs","NCT02499575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Primary","Hospital Length of Stay","Inpatient post-operative stay after undergoing TKA procedure","Through entire inpatient hospital stay (lasted from 1 day to 1 week)",NA,"Hospital Length of StayInpatient post-operative stay after undergoing TKA procedureHoursMeanStandard DeviationParticipantsMeasure","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Exparel",NA,NA,NA,NA,NA,NA,NA
"27","Primary","Hospital Length of Stay","Inpatient post-operative stay after undergoing TKA procedure","Through entire inpatient hospital stay (lasted from 1 day to 1 week)",NA,"Hospital Length of StayInpatient post-operative stay after undergoing TKA procedureHoursMeanStandard DeviationParticipantsMeasure","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Control",NA,NA,NA,NA,NA,NA,NA
"28","Primary","Inpatient Opioid Use","Opioid usage during their inpatient post-operative hospital stay","1 week",NA,"Inpatient Opioid UseOpioid usage during their inpatient post-operative hospital stayMilimorphine Equivalents/DayMeanStandard DeviationParticipantsMeasure","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Exparel",NA,NA,NA,NA,NA,NA,NA
"29","Primary","Inpatient Opioid Use","Opioid usage during their inpatient post-operative hospital stay","1 week",NA,"Inpatient Opioid UseOpioid usage during their inpatient post-operative hospital stayMilimorphine Equivalents/DayMeanStandard DeviationParticipantsMeasure","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Control",NA,NA,NA,NA,NA,NA,NA
"30","Primary","Numeric Rating Scale (NRS) Pain Score Improvement","Measured with Numerical Rating Scale (Range: 0-10, Minimum:0, Maximum:10). Change in NRS Pain Score from pre-operative levels. Positive changes indicate a decrease in pain levels from pre-operative levels.","6 weeks","Number of patients available in Post-operative day (POD) 2 lower secondary to earlier discharges. Number of patients available for analysis in in POD 7-42 time points secondary to their follow up). To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.","Numeric Rating Scale (NRS) Pain Score ImprovementMeasured with Numerical Rating Scale (Range: 0-10, Minimum:0, Maximum:10). Change in NRS Pain Score from pre-operative levels. Positive changes indicate a decrease in pain levels from pre-operative levels.Number of patients available in Post-operative day (POD) 2 lower secondary to earlier discharges. Number of patients available for analysis in in POD 7-42 time points secondary to their follow up). To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.units on a scaleMeanStandard DeviationParticipantsMeasurePOD 0ParticipantsClassPOD 1ParticipantsClassPOD 2ParticipantsClassPOD 7ParticipantsClassPOD 14ParticipantsClassPOD 28ParticipantsClassPOD 42ParticipantsClass","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Exparel",NA,NA,NA,NA,NA,NA,NA
"31","Primary","Numeric Rating Scale (NRS) Pain Score Improvement","Measured with Numerical Rating Scale (Range: 0-10, Minimum:0, Maximum:10). Change in NRS Pain Score from pre-operative levels. Positive changes indicate a decrease in pain levels from pre-operative levels.","6 weeks","Number of patients available in Post-operative day (POD) 2 lower secondary to earlier discharges. Number of patients available for analysis in in POD 7-42 time points secondary to their follow up). To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.","Numeric Rating Scale (NRS) Pain Score ImprovementMeasured with Numerical Rating Scale (Range: 0-10, Minimum:0, Maximum:10). Change in NRS Pain Score from pre-operative levels. Positive changes indicate a decrease in pain levels from pre-operative levels.Number of patients available in Post-operative day (POD) 2 lower secondary to earlier discharges. Number of patients available for analysis in in POD 7-42 time points secondary to their follow up). To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.units on a scaleMeanStandard DeviationParticipantsMeasurePOD 0ParticipantsClassPOD 1ParticipantsClassPOD 2ParticipantsClassPOD 7ParticipantsClassPOD 14ParticipantsClassPOD 28ParticipantsClassPOD 42ParticipantsClass","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Control",NA,NA,NA,NA,NA,NA,NA
"32","Primary","Outpatient Opioid Use","Opioid usage in the immediate post-operative period after hospital discharge","6 weeks",NA,"Outpatient Opioid UseOpioid usage in the immediate post-operative period after hospital dischargeMilimorphine Equivalents/DayMeanStandard DeviationParticipantsMeasure","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Exparel",NA,NA,NA,NA,NA,NA,NA
"33","Primary","Outpatient Opioid Use","Opioid usage in the immediate post-operative period after hospital discharge","6 weeks",NA,"Outpatient Opioid UseOpioid usage in the immediate post-operative period after hospital dischargeMilimorphine Equivalents/DayMeanStandard DeviationParticipantsMeasure","NCT04910165","O2","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Control",NA,NA,NA,NA,NA,NA,NA
"34","Primary","WOMAC Score","Western Ontario and McMaster Universities Osteoarthritis Index Patient Subjective Outcome Score (Range: 0-96, Minimum:0, Maximum:96). Subsections include Pain (Range:0-20, Minimum:0, Maximum:20), Stiffness (Range:0-8; Minimum:0, Maximum:8), and Functional Limitation (Range0-68, Minimum:0, Maximum:68). Measured as change in score from baseline levels. Positive scores indicate an improvement in WOMAC scores from pre-operative levels.","6 weeks","Number of patients available for analysis in in POD 7-42 time points decreased secondary to their follow up. To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.","WOMAC ScoreWestern Ontario and McMaster Universities Osteoarthritis Index Patient Subjective Outcome Score (Range: 0-96, Minimum:0, Maximum:96). Subsections include Pain (Range:0-20, Minimum:0, Maximum:20), Stiffness (Range:0-8; Minimum:0, Maximum:8), and Functional Limitation (Range0-68, Minimum:0, Maximum:68). Measured as change in score from baseline levels. Positive scores indicate an improvement in WOMAC scores from pre-operative levels.Number of patients available for analysis in in POD 7-42 time points decreased secondary to their follow up. To account for this, both an ""intention to treat"" and a ""per protocol"" analysis were completed.units on a scaleMeanStandard DeviationParticipantsMeasurePOD 7 Pain SubscoreParticipantsClassPOD 7 Stiffness SubscoreParticipantsClassPOD 7 Physical Function SubscoreParticipantsClassPOD 7 Total ScoreParticipantsClassPOD 14 Pain SubscoreParticipantsClassPOD 14 Stiffness SubscoreParticipantsClassPOD 14 Physical Function SubscoreParticipantsClassPOD 14 Total ScoreParticipantsClassPOD 28 Pain SubscoreParticipantsClassPOD 28 Stiffness SubscoreParticipantsClassPOD 28 Physical Function SubscoreParticipantsClassPOD 28 Total ScoreParticipantsClassPOD 42 Pain SubscoreParticipantsClassPOD 42 Stiffness SubscoreParticipantsClassPOD 42 Physical Function SubscoreParticipantsClassPOD 42 Total ScoreParticipantsClass","NCT04910165","O1","Superiority","<0.05","p-values reported are calculated by the listed statistical test.","Wilcoxon (Mann-Whitney)","Exparel",NA,NA,NA,NA,NA,NA,NA
